# Prompts gerados por LLM a partir de combinações estratificadas
# 504 amostras | 72 por perfil | seed=123
# formato: prompt_id|perfil|include_accommodation|include_meals|prompt
27|A - Natureza & Aventura|False|True|Olá! Estamos a planeiar uma viagem de 14 dias com o grupo, começando em Bragança e passando por Guarda e Angra do Heroísmo. Temos um orçamento aproximado de 520€ por pessoa, o que nos permite fazer algo de grande. Estamos com 6 pessoas e vamos viajar de carro, o que facilita com as crianças e os membros do grupo com mobilidade reduzida. Gostaríamos de aproveitar a natureza, fazer atividades ao ar livre e explorar trilhos e paisagens naturais. Podem sugerir-nos uma rota que inclua todas essas coisas e também nos ajude
138|A - Natureza & Aventura|False|False|Olá, estou a planear uma viagem de 14 dias para a cidade de Lisboa, sozinho, e estou procurando por sugestões de rota que atendam aos meus interesses. Gostaria de explorar a natureza, fazer atividades ao ar livre, como trilhos e desportos, e apreciar as paisagens naturais da região. Durante a viagem, pretendo mover-me a pé, o que é uma das minhas escolhas de transporte favoritas, pois permite que eu possa explorar melhor o local. O meu orçamento aproximado para a viagem é de até 225€ por dia. Agora, est
45|A - Natureza & Aventura|False|False|"Olá! Estamos a planejar uma viagem de 14 dias, começando em Coimbra e passando por Guarda. Gostaríamos de saber se vocês podem sugerir uma rota que se adapte às nossas preferências. Somos um grupo de 4 pessoas e estamos dispostos a gastar até 1260€ por pessoa, então não há limites para as nossas aventuras. Gostaríamos de explorar a beleza da natureza, fazer trilhos e desportos ao ar livre, e aproveitar as paisagens naturais que Portugal tem a oferecer. O nosso transporte será de comboio, para que possamos desfrutar do
209|A - Natureza & Aventura|True|False|"Olá!  Estou procurando uma sugestão de rota para um grupo de amigos que viaja a Portugal e quer experimentar a natureza e a aventura. Estamos partindo de Viseu e vamos passar também pelo Porto, durante 2 dias. O nosso orçamento é bem alto e podemos nos dar ao luxo de usar transportes públicos. Alguns de nós são amantes de trilhos e paisagens naturais, então gostaríamos de incluir atividades ao ar livre em nossa rota. Podem me sugerir uma rota que inclua trilhos de caminhada, desporto ao ar livre e paisagens incríveis? Não precisamos de sug
137|A - Natureza & Aventura|True|False|"Olá a todos! Estamos a planejar uma viagem de 5 dias com um grupo de 8 pessoas para o destino incrível de Coimbra, utilizando o nosso carro para deslocarmo-nos pelo país. O nosso orçamento para a viagem é alto, até 990€, o que nos permite explorar as melhores opções. Durante os nossos 5 dias em Coimbra, gostaríamos de mergulhar na natureza, sentir a adrenalina da aventura e desfrutar de atividades ao ar livre, como trilhos e paisagens naturais. Poderiam sugerir-nos uma rota para explorarmos esta cidade e as suas red
56|A - Natureza & Aventura|True|False|"Ei a todos, estamos planeando uma viagem de 5 dias por Portugal e precisamos da sua ajuda! Nossa partida é em Horta e queremos passar por Castelo Branco, aproveitando as paisagens naturais desse belo país. Temos pessoas com mobilidade reduzida no grupo, por isso as sugestões têm que ser acessíveis e seguras.  Queremos fazer trilhos, prática de desporto ao ar livre e, é claro, aproveitar a natureza a seu modo. Nossa opção de transporte é o ônibus público, o que deve ser uma aventura em si mesmo! Estamos com um orçamento aproximado de 315
20|A - Natureza & Aventura|False|False|Olá a todos! Estamos a planejar uma viagem de 7 dias a São Miguel, no arquipélago dos Açores, e estamos à procura de sugestões de rota para o nosso grupo de 3 pessoas. Nós gostamos de natureza, aventura e desporto ao ar livre, então estamos à procura de trilhos e paisagens naturais impressionantes. Vamos de comboio, então não precisamos de preocupar-nos com a logística de transporte. O nosso orçamento é muito reduzido, até 27€ por pessoa por dia, então precisamos de sugestões que sejam acessíveis e divertidas. Tratamos o alojamento
195|A - Natureza & Aventura|False|True|"Olá! Estamos a planear uma viagem de 9 dias para o Setúbal e gostaríamos de saber quais são as melhores sugestões de rota para explorar a natureza e fazer atividades ao ar livre. Viajamos de carro e temos um orçamento aproximado de até 680€ por pessoa. O nosso grupo é composto por 3 pessoas, incluindo crianças e pessoas com mobilidade reduzida, por isso estávamos à procura de rotas acessíveis e seguras. Temos em mente fazer trilhos, visitar paisagens naturais e aproveitar a aventura ao ar livre. Seria incrível saber quais são as
275|A - Natureza & Aventura|False|False|Estamos a planear uma viagem de 7 dias a partir de Ponta Delgada, em São Miguel, Açores, e vamos passar também por Angra do Heroísmo, na ilha Terceira. Somos um grupo de 5 pessoas, incluindo crianças, e gostaríamos de saber se há sugestões de rotas que incluam trilhos, paisagens naturais e desporto ao ar livre. O nosso orçamento é médio, até 225€ por pessoa, e vamos utilizar o comboio para nos deslocar. Além disso, tratamos o alojamento por conta própria, então não precisamos de sugestões de a
171|A - Natureza & Aventura|True|True|"Olá, estou aqui à procura de sugestões de rota para uma viagem de 21 dias. Começamos em Viana do Castelo e queremos passar por Funchal e Évora. Nosso orçamento é aproximadamente de 6000€ por pessoa e vamos viajar de comboio. Temos um grupo diverso, com crianças e pessoas com mobilidade reduzida, então gostaríamos de encontrar uma rota que seja acessível e divertida para todos. Nós gostamos de natureza, aventura, desporto ao ar livre e trilhos - é isso que procuramos em uma viagem. Alguém pode me ajudar a
175|A - Natureza & Aventura|True|True|Olá a todos! Estamos a planear uma viagem de 3 dias a Aveiro e estamos à procura de sugestões de rota que sejam adequadas para o nosso grupo. Temos um orçamento muito baixo, até 35€ por pessoa, e vamos chegar a Aveiro de comboio.  Somos um grupo grande, com 6 pessoas, e temos crianças entre nós, o que significa que estamos à procura de atividades que sejam divertidas e seguras para elas. Além disso, temos algumas pessoas com mobilidade reduzida no grupo, por isso precisamos de roteiros acessíveis.  Nós amamos aventura, desporto
82|A - Natureza & Aventura|True|True|Olá, estou à procura de sugestões de rota para uma viagem de 12 dias em Leiria, com um grupo de amigos e familiares. Temos crianças no grupo e também pessoas com mobilidade reduzida, por isso gostaria de sugerir atividades adaptadas para todos. Nossa preferência é caminhar, aproveitar a natureza e fazer desportos ao ar livre. Estamos preparados para gastar até 1100€ por pessoa, então queremos aproveitar ao máximo os recursos locais. Poderia sugerir caminhadas fáceis e seguras para todos, com paisagens naturais impressionantes e possibilidades de trilhos adapt
70|A - Natureza & Aventura|False|True|Olá, estou a planear uma viagem de 12 dias com o meu grupo e gostaria de uma sugestão de rota. Começamos em Setúbal e gostaríamos de visitar Viana do Castelo e Faro. Temos crianças no grupo e pessoas com mobilidade reduzida, então precisamos de rotas fáceis de andar e lugares acessíveis. Além disso, é importante ter um orçamento muito reduzido, até 14€ por pessoa por dia.  Gostaríamos de explorar a natureza e fazer trilhos, desportos ao ar livre e apreciar paisagens naturais. Podem sugerir algumas
173|A - Natureza & Aventura|False|True|Olá!  Estamos a planear uma viagem de 9 dias, começando em Vila Real e passando por Portalegre, com um grupo de amigos. Temos um orçamento muito baixo de cerca de 70€ por pessoa e preferimos caminhar ao invés de usar transporte público. Alguns de nós têm mobilidade reduzida, então é importante que as trilhas sejam acessíveis e não muito longas.  Gostaríamos de explorar a natureza, fazer atividades ao ar livre e desportos, como trilhos e paisagens naturais. Estamos à procura de sugestões de rota que incluam essas atividades e se
126|A - Natureza & Aventura|False|False|Estamos a planejar uma viagem de 5 dias para Funchal, Madeira, e gostaríamos de saber se alguém pode nos ajudar a criar uma rota turística personalizada. Temos um orçamento aproximado de 612€ por pessoa e vamos viajar com transporte público de autocarro. Eu sou sozinho, mas gostaria de incluir atividades que sejam acessíveis para todos, mesmo para aqueles com mobilidade reduzida. Estou interessado em explorar a natureza, fazer trilhos, praticar desporto ao ar livre e apreciar paisagens naturais. Podem sugerir-nos uma rota que se ajuste a ess
84|A - Natureza & Aventura|False|True|"Olá, gosto de viajar e gostaria de saber se alguém pode me ajudar a criar uma rota turística em Faro, que seja adequada para mim e para os meus amigos. Estamos a planear uma viagem de 4 dias e queremos aproveitar a natureza, a aventura e o desporto ao ar livre, com trilhos e paisagens naturais incríveis. O nosso orçamento é alto, até 900€, e vamos viajar de autocarro público. Além disso, temos pessoas com mobilidade reduzida no grupo e vamos tratar o alojamento por conta própria. Queremos fazer uma mistura de ativ
1|A - Natureza & Aventura|True|False|Olá, estou a planear uma viagem de 3 dias para Santarém com o meu grupo e estamos interessados em explorar a natureza e a aventura ao ar livre. Temos um orçamento alto, até 787€ por pessoa, e vamos viajar de carro. Alguns dos nossos membros têm mobilidade reduzida, então é importante que as atividades sejam acessíveis e adaptadas para eles. Gostaríamos de saber se há trilhos ao ar livre com paisagens naturais incríveis onde possamos caminhar e apreciar a beleza da nossa região. Quais são as principais atrações e actividades que não podemos perder?
224|A - Natureza & Aventura|True|False|Estou a planeiar uma viagem de 7 dias, começando em Évora e passando por Castelo Branco, com um orçamento aproximado de 337€ por pessoa. Vamos viajar com crianças, então gostaríamos de sugestões de atividades ao ar livre e trilhos que sejam fáceis e divertidas para eles. Além de explorar a natureza e disfrutar de paisagens naturais, gostaríamos de ter oportunidades para aventura e desporto ao ar livre. O nosso transporte será em buses públicos. Poderíamos ter dicas de como criar uma rota para aproveitarmos ao máximo o nosso tempo em É
194|A - Natureza & Aventura|True|True|Estamos a planejar uma viagem de 9 dias a Castelo Branco, que inclui um grupo de 3 pessoas, com crianças. O nosso orçamento aproximado é de até 625€ e vamos viajar de carro. Gostaríamos de explorar a natureza, fazer atividades ao ar livre, seguir trilhos e apreciar paisagens naturais.  Durante a nossa estadia, gostaríamos de realizar atividades como passeios a pé, caminhadas, e possivelmente, um pouco de desporto ao ar livre. Além disso, gostaríamos de conhecer os principais pontos turísticos da região e aproveitar os momentos
36|A - Natureza & Aventura|False|False|"Olá! Estamos a planear uma viagem de 9 dias por Coimbra e estamos à procura de sugestões de rota. Um grupo de três pessoas, incluindo nós, gostaria de explorar a natureza, a aventura e o desporto ao ar livre. Estamos preparados para caminhar por trilhos e admirar paisagens naturais. Pretendemos chegar a Coimbra de comboio e, como temos um orçamento aproximado de 135€ por pessoa, estamos à procura de soluções que sejam acessíveis. Tratamos o alojamento por conta própria, então não precisamos de sugestões de hotéis
4|A - Natureza & Aventura|True|False|Olá! Estamos a planejar uma viagem de 3 dias para Bragança e estamos à procura de sugestões de rota que atendam às nossas preferências. Somos um grupo de 10 pessoas com um orçamento aproximado de 4050€. Gostaríamos de explorar a natureza e fazer atividades ao ar livre, como trilhos e desporto. Além disso, temos algumas pessoas com mobilidade reduzida no grupo, então as trilhas devem ser acessíveis e não muito longas. Podem sugerir-nos alguma estrutura para passarmos a noite? Nós nos responsabilizamos por as
162|A - Natureza & Aventura|True|False|Estamos planeando uma viagem de 9 dias para Castelo Branco, e gostaríamos de saber quais são as melhores sugestões de rota para um grupo de 2 pessoas, com crianças, que adoram natureza, aventura e desporto ao ar livre. Estamos a viajar de carro e temos um orçamento aproximado de 2025€, então não temos preocupações em relação ao gasto. Durante essa viagem, gostaríamos de explorar trilhos, paisagens naturais e atividades ao ar livre, como podemos fazer na região de Castelo Branco. Qual é a melhor rota que podemos seguir para aproveitar ao máximo
230|A - Natureza & Aventura|False|True|Olá a todos! Estou a planear uma viagem de 5 dias em Leiria e gostaria de saber se alguém tem alguma sugestão de rota. Sou sozinho e estou com um orçamento aproximado de 600€, que posso usar em transportes públicos, atividades ao ar livre e alojamento (que irei tratar por conta própria). Gostaria de explorar a natureza, fazer trilhos e desportos ao ar livre, como bicicletas de montanha e caminhadas. Viajo com crianças, então uma rota que seja agradável para elas seria ótima! Algu
